 6.3929e-05 1.5754e-05 3.9106e-06 9.6865e-07 2.3226e-07
 5.8618e-05 1.4432e-05 3.5794e-06 8.8541e-07 2.1196e-07
 5.3271e-05 1.3102e-05 3.2466e-06 8.0188e-07 1.9163e-07
 4.7963e-05 1.1784e-05 2.9169e-06 7.1926e-07 1.7156e-07
 4.2774e-05 1.0497e-05 2.5954e-06 6.3882e-07 1.5205e-07
 3.7786e-05 9.2620e-06 2.2871e-06 5.6181e-07 1.3342e-07
 3.3072e-05 8.0962e-06 1.9964e-06 4.8937e-07 1.1593e-07
 2.8694e-05 7.0151e-06 1.7273e-06 4.2243e-07 9.9810e-08
 2.4696e-05 6.0299e-06 1.4824e-06 3.6164e-07 8.5207e-08
 2.1107e-05 5.1465e-06 1.2631e-06 3.0736e-07 7.2204e-08
 1.7931e-05 4.3665e-06 1.0698e-06 2.5964e-07 6.0805e-08
 1.5161e-05 3.6871e-06 9.0178e-07 2.1827e-07 5.0953e-08
 1.2772e-05 3.1023e-06 7.5742e-07 1.8283e-07 4.2541e-08
 1.0733e-05 2.6039e-06 6.3462e-07 1.5278e-07 3.5433e-08
 9.0051e-06 2.1824e-06 5.3099e-07 1.2749e-07 2.9473e-08
 7.5507e-06 1.8280e-06 4.4406e-07 1.0635e-07 2.4508e-08
 6.3317e-06 1.5315e-06 3.7144e-07 8.8744e-08 2.0389e-08
 5.3130e-06 1.2840e-06 3.1095e-07 7.4124e-08 1.6980e-08
 4.4633e-06 1.0778e-06 2.6065e-07 6.2002e-08 1.4165e-08
 3.7556e-06 9.0616e-07 2.1887e-07 5.1959e-08 1.1840e-08
 3.1667e-06 7.6345e-07 1.8416e-07 4.3637e-08 9.9197e-09
 2.6774e-06 6.4488e-07 1.5535e-07 3.6741e-08 8.3328e-09
 2.2728e-06 5.4664e-07 1.3145e-07 3.1026e-08 7.0202e-09
 1.9419e-06 4.6585e-07 1.1172e-07 2.6296e-08 5.9341e-09
 1.6793e-06 4.0071e-07 9.5598e-08 2.2400e-08 5.0362e-09
 1.4874e-06 3.5085e-07 8.2807e-08 1.9234e-08 4.2975e-09
 1.3807e-06 3.1809e-07 7.3419e-08 1.6751e-08 3.6979e-09
 1.3942e-06 3.0772e-07 6.8048e-08 1.4982e-08 3.2284e-09
 1.5967e-06 3.3073e-07 6.8172e-08 1.4071e-08 2.8942e-09
 2.1121e-06 4.0734e-07 7.6644e-08 1.4347e-08 2.7218e-09
 3.1520e-06 5.7239e-07 9.8489e-08 1.6417e-08 2.7694e-09
 5.0618e-06 8.8305e-07 1.4204e-07 2.1316e-08 3.1442e-09
 8.3839e-06 1.4293e-06 2.2052e-07 3.0720e-08 4.0267e-09
 1.3938e-05 2.3475e-06 3.5406e-07 4.7214e-08 5.7033e-09
 2.2918e-05 3.8365e-06 5.7218e-07 7.4634e-08 8.6093e-09
 3.6995e-05 6.1751e-06 9.1648e-07 1.1845e-07 1.3380e-08
 5.8421e-05 9.7399e-06 1.4434e-06 1.8620e-07 2.0908e-08
 9.0109e-05 1.5018e-05 2.2266e-06 2.8781e-07 3.2398e-08
 1.3567e-04 2.2617e-05 3.3580e-06 4.3590e-07 4.9413e-08
 1.9938e-04 3.3255e-05 4.9477e-06 6.4581e-07 7.3902e-08
 2.8607e-04 4.7748e-05 7.1215e-06 9.3538e-07 1.0819e-07
 4.0090e-04 6.6970e-05 1.0016e-05 1.3244e-06 1.5491e-07
 5.4905e-04 9.1802e-05 1.3769e-05 1.8334e-06 2.1694e-07
 7.3535e-04 1.2307e-04 1.8514e-05 2.4827e-06 2.9715e-07
 9.6379e-04 1.6146e-04 2.4364e-05 3.2904e-06 3.9827e-07
 1.2372e-03 2.0747e-04 3.1403e-05 4.2709e-06 5.2260e-07
 1.5567e-03 2.6131e-04 3.9673e-05 5.4328e-06 6.7176e-07
 1.9216e-03 3.2289e-04 4.9169e-05 6.7778e-06 8.4645e-07
 2.3295e-03 3.9180e-04 5.9833e-05 8.3000e-06 1.0463e-06
 2.7758e-03 4.6729e-04 7.1555e-05 9.9848e-06 1.2697e-06
 3.2544e-03 5.4832e-04 8.4175e-05 1.1810e-05 1.5139e-06
 3.7578e-03 6.3363e-04 9.7494e-05 1.3746e-05 1.7751e-06
 4.2775e-03 7.2177e-04 1.1128e-04 1.5760e-05 2.0487e-06
 4.8046e-03 8.1119e-04 1.2529e-04 1.7812e-05 2.3294e-06
 5.3300e-03 9.0035e-04 1.3927e-04 1.9866e-05 2.6117e-06
